"76;23823;Wrong Turn 3: Left for Dead;en;20/10/2009;Horror, Thriller;"
"77;775943;Tarumama;es;29/07/2021;Drama, Horror;"
"78;259693;The Conjuring 2;en;08/06/2016;Horror, Thriller;"
"79;72190;World War Z;en;20/06/2013;Action, Drama, Horror, Science Fiction, Thriller;"
"80;439079;The Nun;en;05/09/2018;Horror, Mystery, Thriller;"
"81;854535;The Legacy of Chucky;en;25/07/2021;Documentary, Horror;"
"82;811072;Two;es;23/07/2021;Horror, Thriller;"
"83;184345;A Haunted House 2;en;17/04/2014;Comedy, Horror;"
"84;71672;Wrong Turn 4: Bloody Beginnings;en;17/10/2011;Horror, Thriller;"
"85;13186;Wrong Turn 2: Dead End;en;25/08/2007;Horror, Thriller;"
"86;943221;Mal de Ojo;es;22/09/2022;Horror;"
"87;504175;Chucky's Vacation Slides;en;07/06/2005;Comedy, Horror;"
"88;561;Constantine;en;08/02/2005;Action, Fantasy, Horror;"
"89;516329;Antlers;en;28/10/2021;Drama, Horror, Mystery;"
"90;630586;Wrong Turn;en;26/01/2021;Horror, Thriller;"
"91;360784;Hidden;en;15/09/2015;Horror, Thriller;"
"92;345940;The Meg;en;09/08/2018;Action, Horror, Science Fiction;"
"93;393345;Cult of Chucky;en;23/10/2017;Horror, Thriller;"
"94;481084;The Addams Family;en;10/10/2019;Animation, Comedy, Family, Fantasy, Horror;"
"95;672582;The Deep House;en;30/06/2021;Horror;"
"96;125509;Wrong Turn 5: Bloodlines;en;23/10/2012;Horror, Thriller;"
"97;523936;Meander;fr;26/05/2021;Drama, Horror, Science Fiction, Thriller;"
"98;591273;Fear Street: 1994;en;28/06/2021;Fantasy, Horror, Mystery;"
"99;774021;Demonic;en;29/07/2021;Drama, Horror, Science Fiction;"
"100;22894;Legion;en;21/01/2010;Action, Fantasy, Horror;"
"101;663712;Terrifier 2;en;06/10/2022;Horror, Thriller;"
"102;948;Halloween;en;24/10/1978;Horror, Thriller;"
"103;10585;Child's Play;en;09/11/1988;Horror;"
"104;139038;A Haunted House;en;11/01/2013;Comedy, Horror;"
"105;442249;The First Purge;en;04/07/2018;Action, Horror, Thriller;"
"106;346364;It;en;06/09/2017;Fantasy, Horror;"
"107;998340;Smile;en;16/11/2016;Horror;"
"108;280002;The Remaining;en;25/08/2014;Horror, Thriller;"
"109;591274;Fear Street: 1978;en;08/07/2021;Fantasy, Horror, Mystery;"
"110;760195;Separation;en;30/04/2021;Drama, Horror;"
"111;768447;Motherly;en;04/08/2022;Horror, Thriller;"
"112;843906;Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog;en;14/09/2021;Animation, Comedy, Family, Fantasy, Horror, Mystery;"
"113;879497;Smile;en;17/08/2022;Horror;"
"114;72331;Abraham Lincoln: Vampire Hunter;en;20/06/2012;Action, Fantasy, Horror;"
"115;913290;Barbarian;en;08/09/2022;Horror, Mystery, Thriller;"
"116;11249;Seed of Chucky;en;11/11/2004;Comedy, Horror;"
"117;40012;Raising Jeffrey Dahmer;en;13/04/2006;Drama, Horror;"
"118;9552;The Exorcist;en;26/12/1973;Horror;"
"119;723072;Host;en;04/12/2020;Horror, Mystery, Thriller;"
"120;503736;Army of the Dead;en;14/05/2021;Action, Crime, Horror, Thriller;"
"121;871964;Nobody Sleeps in the Woods Tonight 2;pl;27/10/2021;Comedy, Horror, Thriller;"
"122;11186;Child's Play 2;en;09/11/1990;Horror, Thriller;"
"123;2082;Halloween;en;31/08/2007;Horror;"
"124;676845;Come Play With Me;es;25/02/2021;Horror;"
"125;617708;La Llorona;es;25/07/2019;Drama, Horror, Thriller;"
"126;630240;Titane;fr;14/07/2021;Drama, Horror, Thriller;"
"127;839436;Dragon Fury;en;15/06/2021;Fantasy, Horror, Mystery;"
"128;25769;Carriers;en;04/09/2009;Action, Drama, Horror, Science Fiction, Thriller;"
"129;396535;Train to Busan;ko;20/07/2016;Action, Horror, Science Fiction, Thriller;"
"130;176;Saw;en;01/10/2004;Crime, Horror, Mystery;"
